ADDRESS           METHOD     REQUESTS 
10.228.88.115     GET        71
10.21.223.170     GET        71
10.205.215.19     GET        71
10.178.208.181    POST       71
10.160.48.3       GET        71
10.146.248.190    GET        71
10.14.201.46      GET        71
10.122.119.2      GET        71
10.0.74.167       GET        71
10.97.213.220     GET        70
10.64.47.129      GET        70
10.233.25.114     GET        70
10.214.33.71      GET        70
10.205.211.5      GET        70
10.204.109.134    POST       70
10.173.198.15     GET        70
10.173.145.30     POST       70
10.159.142.239    GET        70
10.146.108.130    GET        70
10.10.118.206     GET        70
10.64.55.112      POST       69
10.61.242.30      POST       69
10.60.65.216      GET        69
10.47.214.209     GET        69
10.40.197.86      POST       69
10.40.113.16      POST       69
10.30.114.92      POST       69
10.225.84.175     GET        69
10.210.32.195     GET        69
10.204.12.173     GET        69
10.191.228.37     GET        69
10.191.174.128    POST       69
10.173.29.8       GET        69
10.173.180.19     GET        69
10.164.184.20     GET        69
10.156.242.133    GET        69
10.72.148.232     GET        68
10.70.34.154      POST       68
10.64.32.141      GET        68
10.60.30.46       POST       68
10.49.145.16      GET        68
10.42.0.23        GET        68
10.28.225.39      POST       68
10.248.166.167    GET        68
10.221.104.34     GET        68
10.220.124.42     POST       68
10.21.99.159      GET        68
10.188.199.21     POST       68
10.173.170.39     POST       68
10.173.160.23     POST       68
10.15.116.185     POST       68
10.140.236.15     POST       68
10.134.91.105     GET        68
10.93.68.18       POST       67
10.73.12.115      GET        67
10.60.54.91       POST       67
10.29.77.121      GET        67
10.241.253.77     POST       67
10.228.2.138      GET        67
10.225.27.81      GET        67
10.146.110.86     GET        67
10.14.201.47      GET        67
10.14.201.45      GET        67
10.13.177.81      GET        67
10.128.86.202     POST       67
10.116.23.132     GET        67
10.11.132.186     GET        67
10.11.110.140     POST       67
10.85.196.77      POST       66
10.5.2.42         POST       66
10.52.161.114     GET        66
10.47.122.177     GET        66
10.28.131.103     GET        66
10.252.183.184    GET        66
10.248.224.154    POST       66
10.238.133.143    GET        66
10.189.103.146    GET        66
10.184.247.86     POST       66
10.184.124.26     GET        66
10.174.208.226    POST       66
10.173.10.133     GET        66
10.159.172.103    GET        66
10.15.155.18      POST       66
10.146.234.198    GET        66
10.146.112.37     GET        66
10.107.116.54     POST       66
10.97.249.106     POST       65
10.74.76.194      GET        65
10.64.58.254      POST       65
10.61.245.21      POST       65
10.60.230.104     POST       65
10.28.168.238     GET        65
10.248.209.18     GET        65
10.248.169.30     GET        65
10.248.157.96     GET        65
10.237.87.156     GET        65
10.233.57.145     GET        65
10.222.161.44     POST       65
10.21.99.159      POST       65
10.187.190.214    GET        65
10.186.4.46       GET        65
10.186.4.45       GET        65
10.153.155.50     GET        65
10.146.126.234    GET        65
10.146.116.111    GET        65
10.122.113.199    POST       65
10.0.122.159      GET        65
10.97.249.106     GET        64
10.96.214.224     POST       64
10.76.110.78      GET        64
10.64.36.44       GET        64
10.64.122.227     GET        64
10.43.137.72      GET        64
10.33.232.38      POST       64
10.254.187.167    GET        64
10.229.187.220    POST       64
10.183.88.26      GET        64
10.173.248.250    GET        64
10.173.100.13     GET        64
10.150.100.107    GET        64
10.128.78.139     GET        64
10.0.79.112       POST       64
10.64.33.137      POST       63
10.56.105.54      GET        63
10.54.219.38      GET        63
10.47.184.122     GET        63
10.47.119.85      GET        63
10.239.36.247     GET        63
10.226.236.209    GET        63
10.173.160.23     GET        63
10.173.110.251    POST       63
10.0.50.117       GET        63
10.75.38.58       GET        62
10.71.144.114     GET        62
10.61.234.187     GET        62
10.30.133.126     POST       62
10.25.164.178     GET        62
10.249.90.167     POST       62
10.249.90.166     POST       62
10.225.13.43      GET        62
10.180.252.182    GET        62
10.147.179.103    GET        62
10.146.238.199    GET        62
10.11.131.112     POST       62
10.86.14.18       GET        61
10.238.86.22      GET        61
10.233.25.114     POST       61
10.221.128.0      GET        61
10.202.39.16      GET        61
10.177.6.245      GET        61
10.173.9.53       GET        61
10.173.225.81     GET        61
10.173.131.192    GET        61
10.128.38.72      POST       61
10.110.199.78     GET        61
10.0.76.126       GET        61
10.72.148.232     POST       60
10.64.8.123       GET        60
10.63.84.76       POST       60
10.55.244.238     GET        60
10.5.252.227      GET        60
10.47.144.85      POST       60
10.3.230.201      GET        60
10.248.221.96     GET        60
10.248.210.182    GET        60
10.241.207.197    GET        60
10.23.227.105     GET        60
10.231.11.60      POST       60
10.225.206.167    POST       60
10.225.206.166    POST       60
10.22.164.107     POST       60
10.221.158.15     GET        60
10.173.32.169     POST       60
10.173.208.67     POST       60
10.167.68.154     GET        60
10.107.107.103    GET        60
10.8.113.161      GET        59
10.52.59.49       GET        59
10.30.122.147     GET        59
10.249.90.165     POST       59
10.246.75.242     POST       59
10.233.228.97     GET        59
10.230.144.60     POST       59
10.228.220.96     GET        59
10.225.73.204     POST       59
10.175.238.251    GET        59
10.173.48.243     GET        59
10.173.210.73     GET        59
